id,odasalon,brut,net,kati,yasi,isinma,esyali,kredi,tapu,banyo,fiyat,ilce
1749,1 + 1,100.0,85 ,2. Kat,10 Yaşında,Merkezi (Pay Ölçer),Eşyalı,Uygun,Kat Mülkiyeti,1,925.000 TL,Eyüpsultan
1750,4 + 1,250.0,Belirtilmemiş,3. Kat,10 Yaşında,Belirtilmemiş,Eşyalı Değil,Uygun,Kat İrtifakı,3,2.100.000 TL,Eyüpsultan
1751,2 + 1,105.0,90 ,Giriş Katı,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,450.000 TL,Eyüpsultan
1752,4 + 1,270.0,250 ,3. Kat,9 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,2.650.000 TL,Eyüpsultan
1753,2 + 1,140.0,130 ,2. Kat,9 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.800.000 TL,Eyüpsultan
1754,2 + 1,85.0,75 ,10. Kat,Sıfır Bina,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,450.000 TL,Eyüpsultan
1755,4 + 2,200.0,185 ,4. Kat,3 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.025.000 TL,Eyüpsultan
1756,2 + 1,90.0,77 ,7. Kat,3 Yaşında,Merkezi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,570.000 TL,Eyüpsultan
1757,6 + 1,230.0,215 ,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,4,1.075.000 TL,Eyüpsultan
1758,4 + 1,150.0,135 ,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,645.000 TL,Eyüpsultan
1759,2 + 1,100.0,90 ,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,360.000 TL,Eyüpsultan
1760,2 + 1,130.0,110 ,2. Kat,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,1.350.000 TL,Eyüpsultan
1761,2 + 1,140.0,110 ,4. Kat,8 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.600.000 TL,Eyüpsultan
1762,4 + 1,270.0,220 ,Çatı Katı,8 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,3.000.000 TL,Eyüpsultan
1763,3 + 1,140.0,130 ,4. Kat,9 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,600.000 TL,Eyüpsultan
1764,2 + 1,105.0,Belirtilmemiş,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,370.000 TL,Eyüpsultan
1765,2 + 1,95.0,90 ,3. Kat,2 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,320.000 TL,Eyüpsultan
1766,3 + 1,165.0,143 ,Çatı Katı,3 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,423.250 TL,Eyüpsultan
1767,2 + 1,110.0,100 ,Yarı Bodrum,4 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,295.000 TL,Eyüpsultan
1768,2 + 1,90.0,75 ,6. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,498.000 TL,Eyüpsultan
1769,5 + 2,210.0,190 ,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,700.000 TL,Eyüpsultan
1770,6 + 1,350.0,300 ,Villa Katı,15 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,4,7.800.000 TL,Eyüpsultan
1771,1 + 1,60.0,50 ,2. Kat,Sıfır Bina,Klima,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,575.000 TL,Eyüpsultan
1772,2 + 1,130.0,120 ,1. Kat,10 Yaşında,Kat Kaloriferi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.450.000 TL,Eyüpsultan
1773,5 + 1,260.0,208 ,Bahçe Katı,13 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,4,3.650.000 TL,Eyüpsultan
1774,3 + 1,180.0,160 ,Bahçe Katı,14 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,4.800.000 TL,Eyüpsultan
1775,2 + 1,80.0,80 ,Yüksek Giriş,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,330.000 TL,Eyüpsultan
1776,2 + 1,94.0,85 ,1. Kat,5 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,485.000 TL,Eyüpsultan
1777,5 + 1,260.0,250 ,4. Kat,22 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.200.000 TL,Eyüpsultan
1778,4 + 1,244.0,220 ,2. Kat,2 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,3.200.000 TL,Eyüpsultan
1779,3 + 2,150.0,140 ,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,589.000 TL,Eyüpsultan
1780,2 + 1,120.0,100 ,Bahçe Katı,10 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat İrtifakı,1,1.950.000 TL,Eyüpsultan
1781,5 + 2,180.0,175 ,4. Kat,6 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,750.000 TL,Eyüpsultan
1782,4 + 1,165.0,140 ,3. Kat,5 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,850.000 TL,Eyüpsultan
1783,3 + 2,130.0,Belirtilmemiş,Çatı Katı,12 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,650.000 TL,Eyüpsultan
1784,2 + 1,110.0,98 ,4. Kat,5 Yaşında,Belirtilmemiş,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,875.000 TL,Eyüpsultan
1785,2 + 1,135.0,110 ,Bahçe Katı,8 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.450.000 TL,Eyüpsultan
1786,2 + 1,100.0,90 ,3. Kat,13 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,330.000 TL,Eyüpsultan
1787,5 + 1,320.0,285 ,4. Kat,12 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,3,2.200.000 TL,Eyüpsultan
1788,2 + 1,101.0,78 ,5. Kat,Sıfır Bina,Merkezi,Eşyalı Değil,Uygun,Kat İrtifakı,2,1.190.000 TL,Eyüpsultan
1789,2 + 1,100.0,90 ,3. Kat,6 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,455.000 TL,Eyüpsultan
1790,1 + 1,60.0,50 ,2. Kat,Sıfır Bina,Klima,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,575.000 TL,Eyüpsultan
1791,2 + 1,130.0,120 ,1. Kat,10 Yaşında,Kat Kaloriferi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.450.000 TL,Eyüpsultan
1792,5 + 1,260.0,208 ,Bahçe Katı,13 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,4,3.650.000 TL,Eyüpsultan
1793,3 + 1,180.0,160 ,Bahçe Katı,14 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,4.800.000 TL,Eyüpsultan
1794,2 + 1,80.0,80 ,Yüksek Giriş,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,330.000 TL,Eyüpsultan
1795,2 + 1,94.0,85 ,1. Kat,5 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,485.000 TL,Eyüpsultan
1796,5 + 1,260.0,250 ,4. Kat,22 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.200.000 TL,Eyüpsultan
1797,4 + 1,244.0,220 ,2. Kat,2 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,3.200.000 TL,Eyüpsultan
1798,3 + 2,150.0,140 ,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,589.000 TL,Eyüpsultan
1799,2 + 1,120.0,100 ,Bahçe Katı,10 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat İrtifakı,1,1.950.000 TL,Eyüpsultan
1800,5 + 2,180.0,175 ,4. Kat,6 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,750.000 TL,Eyüpsultan
1801,4 + 1,165.0,140 ,3. Kat,5 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,850.000 TL,Eyüpsultan
1802,3 + 2,130.0,Belirtilmemiş,Çatı Katı,12 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,650.000 TL,Eyüpsultan
1803,2 + 1,110.0,98 ,4. Kat,5 Yaşında,Belirtilmemiş,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,875.000 TL,Eyüpsultan
1804,2 + 1,135.0,110 ,Bahçe Katı,8 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.450.000 TL,Eyüpsultan
1805,2 + 1,100.0,90 ,3. Kat,13 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,330.000 TL,Eyüpsultan
1806,5 + 1,320.0,285 ,4. Kat,12 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,3,2.200.000 TL,Eyüpsultan
1807,2 + 1,101.0,78 ,5. Kat,Sıfır Bina,Merkezi,Eşyalı Değil,Uygun,Kat İrtifakı,2,1.190.000 TL,Eyüpsultan
1808,2 + 1,100.0,90 ,3. Kat,6 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,455.000 TL,Eyüpsultan
1809,2 + 1,90.0,80 ,2. Kat,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,348.000 TL,Eyüpsultan
1810,3 + 1,140.0,130 ,Kot 1,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,330.000 TL,Eyüpsultan
1811,5 + 2,330.0,300 ,Çatı Katı,10 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,4,3.700.000 TL,Eyüpsultan
1812,3 + 1,180.0,170 ,9. Kat,1 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,595.000 TL,Eyüpsultan
1813,2 + 1,80.0,70 ,Bahçe Katı,5 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,195.000 TL,Eyüpsultan
1814,2 + 1,90.0,85 ,1. Kat,4 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,330.000 TL,Eyüpsultan
1815,2 + 1,105.0,Belirtilmemiş,Giriş Katı,20 Yaşında,Kombi,Eşyalı Değil,Uygun değil,Kat Mülkiyeti,1,570.000 TL,Eyüpsultan
1816,2 + 1,102.0,88 ,2. Kat,Sıfır Bina,Merkezi,Eşyalı Değil,Uygun değil,Kat İrtifakı,2,1.190.000 TL,Eyüpsultan
1817,4 + 2,157.0,130 ,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,645.000 TL,Eyüpsultan
1818,3 + 1,120.0,110 ,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,515.000 TL,Eyüpsultan
1819,2 + 1,80.0,70 ,Bahçe Katı,2 Yaşında,Kombi,Eşyalı Değil,Uygun değil,Kat Mülkiyeti,1,195.000 TL,Eyüpsultan
1820,6 + 1,330.0,320 ,4. Kat,14 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,4,2.850.000 TL,Eyüpsultan
1821,2 + 1,85.0,80 ,6. Kat,Sıfır Bina,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,1,425.000 TL,Eyüpsultan
1822,4 + 2,180.0,165 ,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,745.000 TL,Eyüpsultan
1823,2 + 1,85.0,75 ,9. Kat,2 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,1,450.000 TL,Eyüpsultan
1824,2 + 1,90.0,80 ,6. Kat,1 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat İrtifakı,1,490.000 TL,Eyüpsultan
1825,2 + 1,115.0,94 ,5. Kat,4 Yaşında,Merkezi (Pay Ölçer),Eşyalı Değil,Uygun,Kat Mülkiyeti,2,560.000 TL,Eyüpsultan
1826,3 + 2,160.0,150 ,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,750.000 TL,Eyüpsultan
1827,2 + 1,150.0,130 ,2. Kat,9 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,1.500.000 TL,Eyüpsultan
1828,1 + 1,62.0,51 ,2. Kat,Sıfır Bina,Merkezi (Pay Ölçer),Eşyalı,Uygun,Kat Mülkiyeti,1,640.000 TL,Eyüpsultan
1829,2 + 1,100.0,95 ,1. Kat,5 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,330.000 TL,Eyüpsultan
1830,2 + 1,85.0,80 ,Kot 1,9 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,235.000 TL,Eyüpsultan
1831,2 + 1,95.0,80 ,2. Kat,8 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,270.000 TL,Eyüpsultan
1832,1 + 1,78.0,57 ,3. Kat,Sıfır Bina,Merkezi,Eşyalı Değil,Uygun,Kat İrtifakı,1,740.000 TL,Eyüpsultan
1846,1 + 1,75.0,75 ,Bahçe Katı,25 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,235.000 TL,Fatih
1847,3 + 1,110.0,110 ,1. Kat,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,620.000 TL,Fatih
1848,2 + 1,100.0,95 ,3. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,450.000 TL,Fatih
1849,1 + 1,70.0,70 ,Yüksek Giriş,29 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,230.000 TL,Fatih
1850,2 + 1,100.0,90 ,1. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,455.000 TL,Fatih
1851,2 + 1,75.0,75 ,Yarı Bodrum,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,170.000 TL,Fatih
1852,2 + 1,90.0,80 ,2. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,470.000 TL,Fatih
1853,1 + 1,75.0,65 ,4. Kat,45 Yaşında,Soba,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,275.000 TL,Fatih
1854,3 + 1,105.0,100 ,1. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,800.000 TL,Fatih
1855,2 + 1,70.0,65 ,Yüksek Giriş,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,320.000 TL,Fatih
1856,1 + 1,60.0,50 ,Bahçe Katı,35 Yaşında,Soba,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,150.000 TL,Fatih
1857,3 + 1,125.0,115 ,4. Kat,45 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,700.000 TL,Fatih
1858,2 + 1,90.0,89 ,3. Kat,5 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,1.872.000 TL,Fatih
1859,3 + 1,120.0,110 ,4. Kat,45 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,710.000 TL,Fatih
1860,4 + 1,220.0,210 ,3. Kat,24 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,4,650.000 TL,Fatih
1861,3 + 1,130.0,125 ,Giriş Katı,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,760.000 TL,Fatih
1862,1 + 1,80.0,70 ,2. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,250.000 TL,Fatih
1863,3 + 1,135.0,120 ,4. Kat,29 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,735.000 TL,Fatih
1864,2 + 1,95.0,90 ,1. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,397.000 TL,Fatih
1865,3 + 1,150.0,140 ,4. Kat,7 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,850.000 TL,Fatih
1866,2 + 1,90.0,80 ,3. Kat,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,430.000 TL,Fatih
1867,3 + 1,120.0,110 ,1. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,760.000 TL,Fatih
1868,3 + 1,200.0,160 ,Kot 2,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,830.000 TL,Fatih
1869,2 + 1,115.0,100 ,2. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,500.000 TL,Fatih
1870,2 + 1,90.0,80 ,1. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,420.000 TL,Fatih
1871,3 + 1,140.0,130 ,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,970.000 TL,Fatih
1872,2 + 1,80.0,79 ,2. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,450.000 TL,Fatih
1873,2 + 1,80.0,75 ,Yarı Bodrum,35 Yaşında,Soba,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,285.000 TL,Fatih
1874,2 + 1,110.0,90 ,Kot 2,7 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,510.000 TL,Fatih
1875,2 + 1,80.0,75 ,6. Kat,50 Yaşında,Isıtma Yok,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,325.000 TL,Fatih
1876,2 + 1,105.0,100 ,3. Kat,9 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,540.000 TL,Fatih
1877,3 + 2,200.0,180 ,Kot 3,25 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,945.000 TL,Fatih
1878,4 + 2,240.0,228 ,5. Kat,15 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,1.800.000 TL,Fatih
1879,3 + 1,130.0,125 ,3. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,520.000 TL,Fatih
1880,5 + 2,160.0,121 ,Bahçe Katı,6 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,820.000 TL,Fatih
1881,2 + 1,80.0,75 ,Bahçe Katı,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,470.000 TL,Fatih
1882,2 + 1,85.0,75 ,3. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,260.000 TL,Fatih
1883,1 + 1,75.0,70 ,Giriş Katı,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,265.000 TL,Fatih
1884,3 + 1,125.0,120 ,1. Kat,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,685.000 TL,Fatih
1885,2 + 1,80.0,75 ,Giriş Katı,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,415.000 TL,Fatih
1886,2 + 1,85.0,82 ,4. Kat,37 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,410.000 TL,Fatih
1887,2 + 1,85.0,80 ,3. Kat,27 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,390.000 TL,Fatih
1888,1 + 1,75.0,70 ,Bahçe Katı,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,250.000 TL,Fatih
1889,3 + 1,140.0,130 ,Yüksek Giriş,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,770.000 TL,Fatih
1890,2 + 1,90.0,80 ,3. Kat,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,430.000 TL,Fatih
1891,3 + 1,120.0,110 ,1. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,760.000 TL,Fatih
1892,3 + 1,200.0,160 ,Kot 2,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,830.000 TL,Fatih
1893,2 + 1,115.0,100 ,2. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,500.000 TL,Fatih
1894,2 + 1,90.0,80 ,1. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,420.000 TL,Fatih
1895,3 + 1,140.0,130 ,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,970.000 TL,Fatih
1896,2 + 1,80.0,79 ,2. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,450.000 TL,Fatih
1897,2 + 1,80.0,75 ,Yarı Bodrum,35 Yaşında,Soba,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,285.000 TL,Fatih
1898,2 + 1,110.0,90 ,Kot 2,7 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,510.000 TL,Fatih
1899,2 + 1,80.0,75 ,6. Kat,50 Yaşında,Isıtma Yok,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,325.000 TL,Fatih
1900,2 + 1,105.0,100 ,3. Kat,9 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,540.000 TL,Fatih
1901,3 + 2,200.0,180 ,Kot 3,25 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,2,945.000 TL,Fatih
1902,4 + 2,240.0,228 ,5. Kat,15 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,3,1.800.000 TL,Fatih
1903,3 + 1,130.0,125 ,3. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,520.000 TL,Fatih
1904,5 + 2,160.0,121 ,Bahçe Katı,6 Yaşında,Kombi,Eşyalı,Uygun,Kat Mülkiyeti,2,820.000 TL,Fatih
1905,2 + 1,80.0,75 ,Bahçe Katı,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,470.000 TL,Fatih
1906,2 + 1,85.0,75 ,3. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,260.000 TL,Fatih
1907,1 + 1,75.0,70 ,Giriş Katı,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,265.000 TL,Fatih
1908,3 + 1,125.0,120 ,1. Kat,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,685.000 TL,Fatih
1909,2 + 1,80.0,75 ,Giriş Katı,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,415.000 TL,Fatih
1910,2 + 1,85.0,82 ,4. Kat,37 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,410.000 TL,Fatih
1911,2 + 1,85.0,80 ,3. Kat,27 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,390.000 TL,Fatih
1912,1 + 1,75.0,70 ,Bahçe Katı,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,250.000 TL,Fatih
1913,3 + 1,140.0,130 ,Yüksek Giriş,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,770.000 TL,Fatih
1914,1 + 1,70.0,65 ,Kot 1,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,500.000 TL,Fatih
1915,2 + 2,160.0,100 ,3. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,600.000 TL,Fatih
1916,2 + 1,65.0,62 ,Yarı Bodrum,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,175.000 TL,Fatih
1917,1 + 1,70.0,60 ,Bodrum,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,250.000 TL,Fatih
1918,2 + 1,85.0,80 ,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,770.000 TL,Fatih
1919,1 + 1,110.0,96 ,Bahçe Katı,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,250.000 TL,Fatih
1920,2 + 1,80.0,78 ,Yüksek Giriş,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,330.000 TL,Fatih
1921,1 + 1,70.0,65 ,4. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,290.000 TL,Fatih
1922,2 + 1,78.0,70 ,Bahçe Katı,38 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,165.000 TL,Fatih
1923,3 + 1,160.0,150 ,Kot 1,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,860.000 TL,Fatih
1924,2 + 1,85.0,80 ,1. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,290.000 TL,Fatih
1925,2 + 1,60.0,50 ,Giriş Katı,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat İrtifakı,1,180.000 TL,Fatih
1926,2 + 1,85.0,80 ,1. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,350.000 TL,Fatih
1927,3 + 1,140.0,135 ,4. Kat,20 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,540.000 TL,Fatih
1928,3 + 1,105.0,100 ,1. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,440.000 TL,Fatih
1929,3 + 1,120.0,115 ,3. Kat,7 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,2,470.000 TL,Fatih
1930,2 + 1,90.0,85 ,4. Kat,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,390.000 TL,Fatih
1931,2 + 1,95.0,90 ,3. Kat,40 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,550.000 TL,Fatih
1932,1 + 1,75.0,70 ,Yüksek Giriş,30 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,290.000 TL,Fatih
1933,2 + 1,95.0,90 ,3. Kat,35 Yaşında,Kombi,Eşyalı Değil,Uygun,Kat Mülkiyeti,1,460.000 TL,Fatih
